"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-7C6D8BA2","DISTRIB","ANNUAL","Species distribution","Geographical range","Southeastern Europe, Sea of Azov, Caspian Sea, northern Syria, Persian Gulf east to southeast Mongolia and China; winters south to Egypt, northern India and southern China.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-7C6D8BA2","DISTRIB","ANNUAL","Species distribution","Geographical range","Visitor, wetlands: Nile Delta.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-7C6D8BA2","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds s Eurasia; winters to India","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-7C6D8BA2","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","57.39","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","30","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","72.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3326029.46","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7C6D8BA2","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-7C6D8BA2","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","HABITAT","DESCR","Habitat","Habitat description","lakes, rivers, seacoasts, lagoons, estuaries","","","","","Sibley 1996",""
"avibase-7C6D8BA2","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7C6D8BA2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7C6D8BA2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C6D8BA2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7C6D8BA2","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","5.08","cm","4.92","5.24","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
