"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-79420720","DISTRIB","ANNUAL","Species distribution","Geographical range","Australia, Tasmania and New Zealand (North, South, Kapiti and Chatham Islands); occurs also on Stewart, Norfolk and Lord Howe Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-79420720","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, NCal, Van, Warraber, Grande Terre, Aniwa","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-79420720","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: North, South, Stewart, Chatham (e of South I.) and Auckland is. (s of South I.; New Zealand) >> to coastal s, e Australia, Tasmania, Lord Howe and Norfolk is. (far e of Australia) and New Caledonia","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-79420720","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-34.14","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-52.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-41.81","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","171.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","DISTRIB","RANGE_SIZE","Species distribution","Total range size","270351.2","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-79420720","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-79420720","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","HABITAT","DESCR","Habitat","Habitat description","Riverine","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","HABITAT","DESCR","Habitat","Habitat description","usually breeds inland on dry, open, firm banks of sand gravel or shingle in wide rivers;at high altitudes in NZ in dry habitats with short vegetation;winter coastal &freshwater wetlands seldom far inland","","","","","Sibley 1996",""
"avibase-79420720","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-79420720","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-79420720","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-79420720","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.3775","cm","0.36","0.41","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.7","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-79420720","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.72","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-79420720","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.866","cm","1.866","1.866","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.3225","cm","1.3","1.35","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.9172","cm","1.866","2.02","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.309","cm","0.309","0.309","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.3418","cm","0.309","0.37","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","BODY","MASS","Body measurements","Body mass","59.4","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79420720","BODY","MASS","Body measurements","Body mass","59.4","g","58.6","97","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-79420720","BODY","MASS_F","Body measurements","Body mass (females)","58.4","g","58.4","58.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-79420720","BODY","MASS_F","Body measurements","Body mass (females)","58.4","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-79420720","BODY","MASS_M","Body measurements","Body mass (males)","58.8","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-79420720","BODY","MASS_M","Body measurements","Body mass (males)","58.8","g","58.8","58.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-79420720","BODY","MASS_U","Body measurements","Body mass (sex unknown)","78.2","g","59.4","97","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-79420720","BODY","TAIL_F","Body measurements","Tail length (females)","5.73","cm","","","9","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-79420720","BODY","TAIL_M","Body measurements","Tail length (males)","5.63","cm","","","26","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
