"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-49B76084","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: s Colombia to c Ecuador","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-49B76084","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","1.06","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-3.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-0.9","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-78.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","DISTRIB","RANGE_SIZE","Species distribution","Total range size","36894.51","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49B76084","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-49B76084","HABITAT","ALT","Habitat","Altitude","","m","3500","5000","-1","Birdlife's Worldbird Database",""
"avibase-49B76084","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","HABITAT","DESCR","Habitat","Habitat description","Grassland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","HABITAT","DESCR","Habitat","Habitat description","rocky slopes;Andes 3500-5200m","","","","","Sibley 1996",""
"avibase-49B76084","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49B76084","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49B76084","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49B76084","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.215","cm","0.21","0.22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.219667","cm","0.219","0.22","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2178","cm","0.21","0.22","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.485","cm","2.48","2.49","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.40667","cm","2.38","2.44","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.925","cm","1.88","1.97","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.805","cm","1.79","1.82","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.865","cm","1.79","1.97","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.438","cm","2.38","2.49","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.26","cm","0.24","0.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.266333","cm","0.209","0.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.2638","cm","0.209","0.3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","MASS","Body measurements","Body mass","8.2","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","MASS","Body measurements","Body mass","8.2","g","8.2","8.2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-49B76084","BODY","MASS_U","Body measurements","Body mass (sex unknown)","8.2","g","8.2","8.2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-49B76084","BODY","TAIL_F","Body measurements","Tail length (females)","5.1","cm","5","5.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","TAIL_M","Body measurements","Tail length (males)","4.83333","cm","4.5","5.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","4.94","cm","4.5","5.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","TARSUS_F","Body measurements","Tarsus length (females)","0.745","cm","0.7","0.79","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","TARSUS_M","Body measurements","Tarsus length (males)","0.718667","cm","0.62","0.83","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","0.7292","cm","0.62","0.83","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_F","Body measurements","Wing length (females)","7.2","cm","7.1","7.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","30.55","%","30.2","30.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","29.95","%","29","30.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","30.25","%","29","30.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","4.145","cm","4.08","4.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","4.405","cm","4.4","4.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","4.275","cm","4.08","4.41","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_M","Body measurements","Wing length (males)","7.5","cm","7.3","7.7","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","3.055","cm","3.02","3.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","2.995","cm","2.9","3.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49B76084","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","3.025","cm","2.9","3.09","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
