"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-16485EEB","DISTRIB","ANNUAL","Species distribution","Geographical range","Engano Island, off the western coast of Sumatra.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-16485EEB","DISTRIB","ANNUAL","Species distribution","Geographical range","Enggano I. (off w Sumatra)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-16485EEB","DISTRIB","ANNUAL","Species distribution","Geographical range","Enggano (w of s Sumatra)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-16485EEB","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-5.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-5.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","102.26","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","DISTRIB","RANGE_SIZE","Species distribution","Total range size","400.06","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.72","cm","0.72","0.72","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.72","cm","0.72","0.72","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.66","cm","2.63","2.69","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16485EEB","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.61","cm","1.59","1.63","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
