"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-48C31429","DISTRIB","ANNUAL","Species distribution","Geographical range","Pacific slope of w Colombia and w Ecuador (south to El Oro)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-48C31429","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","6.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-3.46","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","1.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-78.27","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","DISTRIB","RANGE_SIZE","Species distribution","Total range size","64675.02","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-48C31429","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-48C31429","HABITAT","ALT","Habitat","Altitude","","m","400","1100","-1","Birdlife's Worldbird Database",""
"avibase-48C31429","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","HABITAT","DESCR","Habitat","Habitat description","humid forest undergrowth, dense second growth; lowlands-1000m","","","","","Sibley 1996",""
"avibase-48C31429","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-48C31429","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-48C31429","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-48C31429","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.503333","cm","0.48","0.52","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.5","cm","0.5","0.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.5044","cm","0.48","0.52","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.89333","cm","1.75","2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.98","cm","1.98","1.98","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.13667","cm","1.09","1.17","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.22","cm","1.22","1.22","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.169","cm","1.09","1.22","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.915","cm","1.75","2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.503333","cm","0.47","0.53","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.49","cm","0.49","0.49","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.4944","cm","0.47","0.53","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","MASS","Body measurements","Body mass","24.5","g","24","25","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-48C31429","BODY","MASS","Body measurements","Body mass","24","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","MASS_M","Body measurements","Body mass (males)","24","g","24","24","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-48C31429","BODY","MASS_U","Body measurements","Body mass (sex unknown)","25","g","25","25","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-48C31429","BODY","TAIL_F","Body measurements","Tail length (females)","5.33333","cm","4.8","5.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","TAIL_M","Body measurements","Tail length (males)","5.8","cm","5.8","5.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","5.23","cm","4.35","5.8","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.8","cm","2.77","2.83","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.9","cm","2.9","2.9","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-48C31429","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.816","cm","2.77","2.9","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
