"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-06B7366C","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: Colombia to Peru","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-06B7366C","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","7.28","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-12.83","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-1.84","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-76.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","DISTRIB","RANGE_SIZE","Species distribution","Total range size","203573.74","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-06B7366C","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-06B7366C","HABITAT","ALT","Habitat","Altitude","","m","1700","2650","-1","Birdlife's Worldbird Database",""
"avibase-06B7366C","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","HABITAT","DESCR","Habitat","Habitat description","forest, edge, pastures, towns;Andes 1800-2600m","","","","","Sibley 1996",""
"avibase-06B7366C","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-06B7366C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-06B7366C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-06B7366C","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.22","cm","0.22","0.22","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.236667","cm","0.23","0.25","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2325","cm","0.22","0.25","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.97667","cm","2.57","3.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.34","cm","","","6","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-06B7366C","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.24","cm","","","5","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-06B7366C","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.652","cm","2.35","3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.99","cm","1.99","1.99","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.87333","cm","1.86","1.88","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.9025","cm","1.86","1.99","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-06B7366C","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.77375","cm","2.35","3.3","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
