"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-7CF91527","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds in southern Europe to Rumania, Poland and west Siberia to the Ob Valley, south to northern Africa (Morocco and Algeria) , Persia, Turke- stan, Kashmir, the Pamirs and southern Tibet. Winters in the Mediter- ranean region, Nile Valley, Persian Gulf, Arakan and Burma.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-7CF91527","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic winter visitor, mainly shallow water: all around Sahara, Ethiopia.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-7CF91527","DISTRIB","ANNUAL","Species distribution","Geographical range","Discontinuous Palearctic; winters to India, SE Asia and e China","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-7CF91527","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","57.76","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","23.54","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","46.16","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","49.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","DISTRIB","RANGE_SIZE","Species distribution","Total range size","6827514.86","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7CF91527","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-7CF91527","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","HABITAT","DESCR","Habitat","Habitat description","fresh lakes, marshes w fringes & emergent vegetation","","","","","Sibley 1996",""
"avibase-7CF91527","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Herbivore aquatic dive","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7CF91527","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7CF91527","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7CF91527","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.27","cm","1.26","1.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.24367","cm","1.141","1.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.25183","cm","1.141","1.32","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.705","cm","3.62","3.79","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.22433","cm","4.07","4.503","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.71","cm","2.7","2.72","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.79","cm","2.73","2.85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.75","cm","2.7","2.85","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.1245","cm","3.62","4.664","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.87","cm","1.73","2.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.855","cm","1.715","1.96","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.84467","cm","1.715","2.01","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7CF91527","BODY","MASS","Body measurements","Body mass","574","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
