"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-120AEEC0","DISTRIB","ANNUAL","Species distribution","Geographical range","Southern Cameroon south to the Loango Coast and eastward in the forests of the lower and central Congo as far as Isangi.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-120AEEC0","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, swampy forest: S Cameroon - extreme N Angola inland to half across DRC.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-120AEEC0","DISTRIB","ANNUAL","Species distribution","Geographical range","lowland swamps from southern Cameroon to northwestern Angola and central Democratic Republic of the Congo","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-120AEEC0","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","4.24","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-120AEEC0","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-9.02","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-120AEEC0","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-0.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-120AEEC0","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","15.86","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-120AEEC0","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-120AEEC0","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1058987.75","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-120AEEC0","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
