"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-BE752C4F","DISTRIB","ANNUAL","Species distribution","Geographical range","Islands of Numfor, Biak and Traitor's in Geelvink Bay.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-BE752C4F","DISTRIB","ANNUAL","Species distribution","Geographical range","islands in Geelvink Bay (nw New Guinea)","","","","","IOC 11.1","http://www.worldbirdnames.org/"
"avibase-BE752C4F","DISTRIB","ANNUAL","Species distribution","Geographical range","Numfor, Biak and Yapen islands","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-BE752C4F","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-0.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-1.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-0.95","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","135.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2923.6","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.385","cm","0.36","0.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.42","cm","0.41","0.43","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.4025","cm","0.36","0.43","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.8","cm","1.8","1.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.795","cm","1.78","1.81","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.86","cm","0.86","0.86","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.81","cm","0.77","0.85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.826667","cm","0.77","0.86","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.79667","cm","1.78","1.81","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.36","cm","0.36","0.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.35","cm","0.32","0.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.355","cm","0.32","0.38","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","MASS","Body measurements","Body mass","108.48","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","TAIL_F","Body measurements","Tail length (females)","5.055","cm","5.02","5.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","TAIL_M","Body measurements","Tail length (males)","4.56","cm","4.5","4.62","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","4.8075","cm","4.5","5.09","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.945","cm","1.94","1.95","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.01","cm","1.98","2.04","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.9775","cm","1.94","2.04","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_F","Body measurements","Wing length (females)","11.105","cm","11.05","11.16","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","80.75","%","80.7","80.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","79.3","%","77.5","81.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","80.025","%","77.5","81.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","3.035","cm","2.99","3.08","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","2.98","cm","2.97","2.99","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","3.0075","cm","2.97","3.08","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_M","Body measurements","Wing length (males)","10.91","cm","10.72","11.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","8.075","cm","8.07","8.08","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","7.93","cm","7.75","8.11","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","8.0025","cm","7.75","8.11","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BE752C4F","BODY","WING_U","Body measurements","Wing length (sex unknown)","11.0075","cm","10.72","11.16","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
