"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-CAFE4C4C","DISTRIB","ANNUAL","Species distribution","Geographical range","Western and southern Madagascar from Bombetoke Bay to the Man- drare River.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-CAFE4C4C","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, deciduous forest, thorn scrub: W and S lowland Madagascar.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-CAFE4C4C","DISTRIB","ANNUAL","Species distribution","Geographical range","Thinly distributed in forests and savanna of w and s Madagascar","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-CAFE4C4C","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-15.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-25.2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-20.15","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","44.77","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","DISTRIB","RANGE_SIZE","Species distribution","Total range size","149356.19","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CAFE4C4C","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-CAFE4C4C","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","HABITAT","DESCR","Habitat","Habitat description","deciduous forest, gallery forest, thorn scrub;lowlands-700m","","","","","Sibley 1996",""
"avibase-CAFE4C4C","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CAFE4C4C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CAFE4C4C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CAFE4C4C","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.23","cm","1.23","1.23","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.23075","cm","1.143","1.31","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.2306","cm","1.143","1.31","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.53","cm","3.53","3.53","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.6035","cm","3.53","3.64","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.91","cm","1.91","1.91","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.88667","cm","1.82","1.98","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.8925","cm","1.82","1.98","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CAFE4C4C","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.5888","cm","3.53","3.64","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
