"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5F8E7CA8","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, open areas: Mauritania - Tunisia and into edge of Sahara Desert.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-5F8E7CA8","DISTRIB","ANNUAL","Species distribution","Geographical range","North America, Central America, Palearctic: widespread","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-5F8E7CA8","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","71.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5F8E7CA8","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","6.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5F8E7CA8","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","50.67","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5F8E7CA8","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","38.05","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5F8E7CA8","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5F8E7CA8","DISTRIB","RANGE_SIZE","Species distribution","Total range size","39450257.98","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5F8E7CA8","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5F8E7CA8","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-5F8E7CA8","HABITAT","ALT","Habitat","Altitude","","m","","2700","-1","Birdlife's Worldbird Database",""
