"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-100C01C4","DISTRIB","ANNUAL","Species distribution","Geographical range","Central America: w Mexico","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-100C01C4","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","24.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","15.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","19.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-102.39","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","DISTRIB","RANGE_SIZE","Species distribution","Total range size","161373.56","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-100C01C4","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-100C01C4","HABITAT","ALT","Habitat","Altitude","","m","","1500","-1","Birdlife's Worldbird Database",""
"avibase-100C01C4","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","HABITAT","DESCR","Habitat","Habitat description","Tropical Deciduous Forest, Gallery Forest, Secondary Forest (0-1500 m; Tropical and lower Subtropical zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-100C01C4","HABITAT","DESCR","Habitat","Habitat description","forest, open woodland;lowlands-1000m","","","","","Sibley 1996",""
"avibase-100C01C4","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore bark","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-100C01C4","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-100C01C4","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-100C01C4","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.63","cm","0.59","0.67","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.703","cm","0.67","0.749","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.6738","cm","0.59","0.749","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.535","cm","2.52","2.55","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.72567","cm","2.57","2.837","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.83","cm","1.82","1.84","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.925","cm","1.82","2.03","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.8775","cm","1.82","2.03","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.6494","cm","2.52","2.837","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.64","cm","0.63","0.65","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.660667","cm","0.622","0.69","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.6524","cm","0.622","0.69","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-100C01C4","BODY","MASS","Body measurements","Body mass","71","g","63.7","88","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
