"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-788EBCAB","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, NCal, PNG, Sol, Van, Arden, Aureed, Bramble Cay, Campbell, Darnley, Dauan, Dove, Kodall, Massig, Murray, Saibai, Ugar, Woiz, Yam, Zuizin, New Guinea, Anchorage Islet #1, Anchorage Islet #3, Anchorage North, Anchorage South, Avon South, Beautemps­Beaupré, Grande Terre, Ile Des Pins, Lifou, Long, Loop, Maré, Passage, Passage Cay #1, Surprise, Walpole, Bougainville, Buka, Carteret, Dawson, Djaul, Emira, Fergusson, Goodenough, Hermits, Kaileuna, Kanawea, Karkar, Kegawam, Kiriwina, Kwaraiwa, Laughlan Atoll, Lou, Manus, Motupore, New Britain, New Guinea, New Hanover, New Ireland, Ninigo, Normanby, Nuguria, Nukumanu, Nusandaul, Panaunau, Takuu, Tench, Tingwon, Tobweyama, Tubatuba, Wuvulu, Anuda, Gizo, Guadalcanal, Kulambangra, Ontong Java, Rennell, Shortlands, Sikaiana, Ambrym, Aneityum, Santo","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-788EBCAB","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds: Indian Ocean Is; rare visitor, sea: coastal areas Kenya - KZ-Natal.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-788EBCAB","DISTRIB","ANNUAL","Species distribution","Geographical range","Tropical Oceans: widespread, is. of tropical Indian and Pacific Oceans, local e of e Brazil (tropical Atlantic Ocean) >> pelagic, ranging throughout tropical Indian and tropical and subtropical Pacific oceans","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-788EBCAB","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","28.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-788EBCAB","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-27.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-788EBCAB","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-1.46","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-788EBCAB","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-94.34","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-788EBCAB","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-788EBCAB","DISTRIB","RANGE_SIZE","Species distribution","Total range size","24816.16","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-788EBCAB","DISTRIB","REALM","Species distribution","Realm","Oceania","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-788EBCAB","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-788EBCAB","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-788EBCAB","HABITAT","DESCR","Habitat","Habitat description","Marine","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-788EBCAB","HABITAT","DESCR","Habitat","Habitat description","Pelagic Waters; nests on islands in trees or on low vegetation. ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-788EBCAB","HABITAT","DESCR","Habitat","Habitat description","ocean","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
