"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DB5DABCF","DISTRIB","ANNUAL","Species distribution","Geographical range","Southern portions of the western United States from the upper Sacra- mento Valley in California, southern Utah, Colorado and southwestern Kansas, eastward to the Gulf coast of Texas, south to Lower California and over the Mexican tableland to Michoacan, Puebla and Vera Cruz.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-DB5DABCF","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","40.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","18.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","30.77","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-104.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3008009.53","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","DISTRIB","REALM","Species distribution","Realm","Nearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DB5DABCF","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-DB5DABCF","HABITAT","ALT","Habitat","Altitude","","m","","2500","-1","Birdlife's Worldbird Database",""
"avibase-DB5DABCF","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","HABITAT","DESCR","Habitat","Habitat description","Desert scrub, chaparral, edges of cultivated lands, and arid open situations with scattered brush, locally in cedar glades and pine-oak woodland (Tropical and Subtropical zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-DB5DABCF","HABITAT","DESCR","Habitat","Habitat description","arid woodland, chapparal, desert scrub, other arid brush","","","","","Sibley 1996",""
"avibase-DB5DABCF","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DB5DABCF","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DB5DABCF","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DB5DABCF","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.19767","cm","1.17","1.22","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.335","cm","1.24","1.43","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.2526","cm","1.17","1.43","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.54","cm","","","5","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB5DABCF","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.53567","cm","5.27","5.957","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.145","cm","5.88","6.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.75","cm","","","4","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB5DABCF","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.36","cm","3.1","3.62","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.71","cm","3.57","3.85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.535","cm","3.1","3.85","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.7794","cm","5.27","6.41","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.952333","cm","0.92","1.017","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.095","cm","1.02","1.17","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.0094","cm","0.92","1.17","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","MASS","Body measurements","Body mass","376","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DB5DABCF","BODY","MASS","Body measurements","Body mass","376","g","286","379.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
