"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DCC3878A","DISTRIB","ANNUAL","Species distribution","Geographical range","Tasmania and larger islands in Bass Strait","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-DCC3878A","DISTRIB","ANNUAL","Species distribution","Geographical range","Tasmania and islands in Bass Strait.^","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-DCC3878A","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-39.44","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-43.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-41.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","146.59","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","DISTRIB","RANGE_SIZE","Species distribution","Total range size","68050.36","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DCC3878A","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-DCC3878A","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","HABITAT","DESCR","Habitat","Habitat description","temperate rainforest, wet & dry sclerophyll forest, Eucalyptus woodland, Melaleuca scrub, coastal heathlands, dwarf alpine coniferous forest, sedgeland, buttongrass plains, tussock grassland, fields, orchards, towns","","","","","Sibley 1996",""
"avibase-DCC3878A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DCC3878A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DCC3878A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.37","cm","2.34","2.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.29","cm","2","2.47","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.322","cm","2","2.47","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.03","cm","2","2.06","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.76","cm","","","15","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DCC3878A","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.95","cm","","","26","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DCC3878A","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.94467","cm","1.65","2.114","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.745","cm","1.72","1.77","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.55","cm","1.45","1.65","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.6475","cm","1.45","1.77","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.9788","cm","1.65","2.114","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.225","cm","1.2","1.25","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.186","cm","1.06","1.298","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.2016","cm","1.06","1.298","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","MASS","Body measurements","Body mass","132.59","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","MASS","Body measurements","Body mass","130.175","g","110","164","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DCC3878A","BODY","MASS_F","Body measurements","Body mass (females)","118.1","g","118","127","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DCC3878A","BODY","MASS_F","Body measurements","Body mass (females)","118.1","grams","","","13","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DCC3878A","BODY","MASS_M","Body measurements","Body mass (males)","148.6","grams","","","19","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DCC3878A","BODY","MASS_M","Body measurements","Body mass (males)","149","g","148.6","164","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DCC3878A","BODY","MASS_U","Body measurements","Body mass (sex unknown)","110","g","110","110","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DCC3878A","BODY","SVL","Body measurements","Snout-to-vent length (adults)","34.5","cm","34.5","34.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DCC3878A","BODY","TAIL_F","Body measurements","Tail length (females)","17.93","cm","","","16","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DCC3878A","BODY","TAIL_F","Body measurements","Tail length (females)","18.2","cm","17.4","19","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","TAIL_M","Body measurements","Tail length (males)","17.7333","cm","17.1","18.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DCC3878A","BODY","TAIL_M","Body measurements","Tail length (males)","18.65","cm","","","25","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DCC3878A","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","17.92","cm","17.1","19","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
