"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-4A922076","DISTRIB","ANNUAL","Species distribution","Geographical range","Confined to the Island of Grenada, Lesser Antilles.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-4A922076","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","12.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A922076","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A922076","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","12.05","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A922076","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-61.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A922076","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A922076","DISTRIB","RANGE_SIZE","Species distribution","Total range size","15.36","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A922076","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4A922076","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-4A922076","HABITAT","ALT","Habitat","Altitude","","m","","150","-1","Birdlife's Worldbird Database",""
"avibase-4A922076","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A922076","HABITAT","DESCR","Habitat","Habitat description","Tropical Deciduous Forest. ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-4A922076","HABITAT","DESCR","Habitat","Habitat description","dry-scrub woods:to 150m","","","","","Sibley 1996",""
"avibase-4A922076","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A922076","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Granivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
