"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-943AA4FB","DISTRIB","ANNUAL","Species distribution","Geographical range","sw USA to nw Costa Rica","","","","","IOC 3.1","http://worldbirdnames.org/"
"avibase-943AA4FB","DISTRIB","ANNUAL","Species distribution","Geographical range","Lowlands of sw US to nw Costa Rica","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-943AA4FB","DISTRIB","ANNUAL","Species distribution","Geographical range","Southern Arizona, New Mexico, and Texas, south through Mexico and Central America to northwestern Costa Rica. Migratory in north.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-943AA4FB","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","33.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","9.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","19.92","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-96.08","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1432406.12","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-943AA4FB","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","HABITAT","DESCR","Habitat","Habitat description","open woodland, farmland, forestedge, riparian woodl;lowlands-1000m","","","","","Sibley 1996",""
"avibase-943AA4FB","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.76","cm","1.67","1.85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.675","cm","1.65","1.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.7175","cm","1.65","1.85","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.6","cm","3.57","3.63","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.225","cm","3.17","3.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.15","cm","2.09","2.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.02","cm","1.97","2.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.085","cm","1.97","2.21","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.4125","cm","3.17","3.63","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.195","cm","1.17","1.22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.095","cm","1.05","1.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.145","cm","1.05","1.22","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","MASS","Body measurements","Body mass","510.5833333","g","429","628","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-943AA4FB","BODY","MASS","Body measurements","Body mass","519.04","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","MASS_F","Body measurements","Body mass (females)","624","g","554","637","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-943AA4FB","BODY","MASS_M","Body measurements","Body mass (males)","429.75","g","416","465","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-943AA4FB","BODY","MASS_U","Body measurements","Body mass (sex unknown)","465","g","465","465","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-943AA4FB","BODY","SVL","Body measurements","Snout-to-vent length (adults)","41","cm","41","41","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-943AA4FB","BODY","TAIL_F","Body measurements","Tail length (females)","16.705","cm","16.48","16.93","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-943AA4FB","BODY","TAIL_M","Body measurements","Tail length (males)","15.69","cm","15.55","15.83","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
