"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-27903EF7","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds on the Arctic tundra of Europe and Asia from the Kanin Penin- sula to east Siberia; Kolguev, Great Lyakov and Wrangel Islands; in North America from Alaska along the Arctic coast and islands east to Baflfin and Southampton Islands. Migrates south through Europe, Asia and North America to winter quarters in Africa, Madagascar, India, the East Indies, Australia, southern United States, West Indies and South America to Chile and Peru; GaMpagos Archipelago.^","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-27903EF7","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, NCal, PNG, Sol, Van, Aureed, Boigu, Dauan, Dove, Kodall, Massig, Ugar, Warraber, New Guinea, Belep, Cocotier, Double, Grande Terre, Ile Des Pins, Bougainville, Buka, Daugo, Fergusson, Manus, Misima, Nalualuali, New Britain, New Guinea, New Ireland, Rara_(Redlick Islets), Wuvulu, Guadalcanal, Haycock, Haycock Islet #5, Kerehikapo, Russell Grp, Three Sisters, Vanikolo, Efate","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-27903EF7","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic winter visitor, intertidal mudflats, saltmarshes: all around coast and on Indian and Atlantic Ocean islands; rare inland.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-27903EF7","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","79.37","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","58.39","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","70.21","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","24.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3963258.28","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-27903EF7","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-27903EF7","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","HABITAT","DESCR","Habitat","Habitat description","Grassland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","HABITAT","DESCR","Habitat","Habitat description","Dry tundra ridges (breeding); mudflats, beaches, bare shores of ponds and lakes, and occasionally plowed fields (nonbreeding). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-27903EF7","HABITAT","DESCR","Habitat","Habitat description","br.polar deserts to forest tundra but commonest in Arctic tundra;non-breeding, intertidal mudflats & beaches;on migration also inland lakes & pools and more rarely grassland","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-27903EF7","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-27903EF7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-27903EF7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-27903EF7","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.67","cm","0.66","0.68","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.724333","cm","0.68","0.783","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.7026","cm","0.66","0.783","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.05","cm","2.83","3.27","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.9","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-27903EF7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.89","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-27903EF7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.29833","cm","3.21","3.365","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.925","cm","1.85","2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.92","cm","1.9","1.94","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.9225","cm","1.85","2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.199","cm","2.83","3.365","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.53","cm","0.52","0.54","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.497667","cm","0.493","0.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.5106","cm","0.493","0.54","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","MASS","Body measurements","Body mass","250","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","MASS","Body measurements","Body mass","224","g","180","250","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-27903EF7","BODY","MASS_F","Body measurements","Body mass (females)","202","g","190","214","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-27903EF7","BODY","MASS_HATCH","Body measurements","Hatchling body mass","23.2","g","21.4","25","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-27903EF7","BODY","MASS_M","Body measurements","Body mass (males)","236.2","g","232","240.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-27903EF7","BODY","MASS_M","Body measurements","Body mass (males)","240.4","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-27903EF7","BODY","MASS_U","Body measurements","Body mass (sex unknown)","229.5","g","180","250","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-27903EF7","BODY","TAIL_F","Body measurements","Tail length (females)","7.27","cm","","","4","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-27903EF7","BODY","TAIL_F","Body measurements","Tail length (females)","6.65","cm","6.5","6.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","TAIL_M","Body measurements","Tail length (males)","7.46667","cm","6.9","8.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","TAIL_M","Body measurements","Tail length (males)","7.33","cm","","","8","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-27903EF7","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.14","cm","6.5","8.1","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","TARSUS_F","Body measurements","Tarsus length (females)","4.5","cm","4.45","4.55","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","TARSUS_F","Body measurements","Tarsus length (females)","4.7","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-27903EF7","BODY","TARSUS_M","Body measurements","Tarsus length (males)","4.68","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-27903EF7","BODY","TARSUS_M","Body measurements","Tarsus length (males)","4.41833","cm","4.345","4.49","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-27903EF7","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","4.451","cm","4.345","4.55","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
