"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B02554D8","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: c Colombia to Peru","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-B02554D8","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","5.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-13.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-4.97","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-76.42","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","DISTRIB","RANGE_SIZE","Species distribution","Total range size","122389.53","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B02554D8","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-B02554D8","HABITAT","ALT","Habitat","Altitude","","m","2000","3350","-1","Birdlife's Worldbird Database",""
"avibase-B02554D8","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","HABITAT","DESCR","Habitat","Habitat description","humid forest;Andes 2700-3400m","","","","","Sibley 1996",""
"avibase-B02554D8","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B02554D8","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B02554D8","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B02554D8","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.94","cm","2.94","2.94","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.8988","cm","2.824","2.96","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","8.38333","cm","8.18","8.69","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","9.84","cm","9.6","9.95","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","7.04","cm","7.04","7.04","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","8.0675","cm","7.04","9.07","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","9.11718","cm","8.019","9.95","11","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","2.56","cm","2.56","2.56","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","2.588","cm","2.53","2.66","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","MASS","Body measurements","Body mass","312.83","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02554D8","BODY","MASS","Body measurements","Body mass","315.5","g","287","341","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B02554D8","BODY","MASS_F","Body measurements","Body mass (females)","290.75","g","287","294.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B02554D8","BODY","MASS_M","Body measurements","Body mass (males)","338.75","g","336.5","341","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
