"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-C5B34740","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","30.19","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-23.6","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","12.58","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-85.96","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2696933.46","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C5B34740","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-C5B34740","HABITAT","ALT","Habitat","Altitude","","m","","2300","-1","Birdlife's Worldbird Database",""
"avibase-C5B34740","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","HABITAT","DESCR","Habitat","Habitat description","Human Modified","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","HABITAT","DESCR","Habitat","Habitat description","Second-growth Scrub, Riparian Thickets (0-2300 m; Tropical and Subtropical zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-C5B34740","HABITAT","DESCR","Habitat","Habitat description","2growth, woodld, savanna, thickets, scrub, brush, farms;lowlds","","","","","Sibley 1996",""
"avibase-C5B34740","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C5B34740","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C5B34740","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C5B34740","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.5714","cm","1.48","1.7","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.7185","cm","1.531","1.85","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.65","cm","1.48","1.913","15","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.575","cm","2.46","2.69","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.75","cm","","","10","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-C5B34740","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.9","cm","","","12","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-C5B34740","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.795","cm","2.75","2.84","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5B34740","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.776","cm","1.56","2.042","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
