"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-250EA983","DISTRIB","ANNUAL","Species distribution","Geographical range","Hawaiian Islands. Accidental at Mazatlan, Mexico {Anas aberti Ridg- way).","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-250EA983","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","22.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","19.57","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","20.92","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-157.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","DISTRIB","RANGE_SIZE","Species distribution","Total range size","4181.09","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","DISTRIB","REALM","Species distribution","Realm","Oceania","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-250EA983","RANGE","POPSIZE","Range and population size","Population size","2500","","","","","rosssilcock.com","http://www.rosssilcock.com/pacific.htm"
"avibase-250EA983","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-250EA983","HABITAT","ALT","Habitat","Altitude","","m","","3300","-1","Birdlife's Worldbird Database",""
"avibase-250EA983","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","HABITAT","DESCR","Habitat","Habitat description","Riverine","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","HABITAT","DESCR","Habitat","Habitat description","Coastal lagoons, marshes, and mountain streams. ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-250EA983","HABITAT","DESCR","Habitat","Habitat description","wetlands, marshes, coastal ponds, flooded grasslands, mountain streams, occasionally boggy forest;sea level to 3300m","","","","","Sibley 1996",""
"avibase-250EA983","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-250EA983","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-250EA983","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.45","cm","1.45","1.45","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.3575","cm","1.11","1.48","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.21","cm","4.21","4.21","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.91","cm","2.91","2.91","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.3325","cm","2.91","3.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.7175","cm","4.21","5.17","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.4","cm","1.4","1.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.58","cm","1.4","1.78","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","MASS","Body measurements","Body mass","843.42","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","MASS","Body measurements","Body mass","1105","g","532.75","1301","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","BODY","MASS_F","Body measurements","Body mass (females)","1095.5","g","585","1301","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","BODY","MASS_F","Body measurements","Body mass (females)","585","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-250EA983","BODY","MASS_HATCH","Body measurements","Hatchling body mass","30.7","g","28.6","32.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","BODY","MASS_M","Body measurements","Body mass (males)","1172.5","g","644","1361","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","BODY","MASS_M","Body measurements","Body mass (males)","644","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-250EA983","BODY","MASS_U","Body measurements","Body mass (sex unknown)","1107.5","g","532.75","1153","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","BODY","SVL","Body measurements","Snout-to-vent length (adults)","57.5","cm","57.5","57.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","BODY","TAIL_M","Body measurements","Tail length (males)","6.2","cm","6.2","6.2","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.975","cm","6.2","7.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","TARSUS_M","Body measurements","Tarsus length (males)","3.24","cm","3.24","3.24","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","3.4","cm","3.24","3.52","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","108","%","108","108","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","118.25","%","108","126","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","8.2","cm","8.2","8.2","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","10.175","cm","8.2","12","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","WING_M","Body measurements","Wing length (males)","19","cm","19","19","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","10.8","cm","10.8","10.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","11.825","cm","10.8","12.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","BODY","WING_U","Body measurements","Wing length (sex unknown)","22","cm","19","24.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-250EA983","EGGS","MASS","Eggs","Egg mass","53.1","g","32.1","80","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","REPROD","AGE1ST_F","Reproduction","Age at first breeding (females)","1","years","1","1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","REPROD","AGE1ST_M","Reproduction","Age at first breeding (males)","1","years","1","1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","REPROD","CLUTCHSZ","Reproduction","Clutch size","10.0996994","n","8.299065421","11","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","REPROD","CLUTCHSZ","Reproduction","Clutch size","8.3","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-250EA983","REPROD","FLEDGING","Reproduction","Fledging period","55.5","days","55","56","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","REPROD","FREQ","Reproduction","Number of breeding attempts per year","1","n/year","1","1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","REPROD","INCUBATION","Reproduction","Incubation period","26.5","days","26","27.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","SURVIVAL","MAXAGE","Survival","Maximum age","29.1","years","3.666666667","29.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-250EA983","SURVIVAL","MEAN","Survival","Average survival","25.49166667","years","","","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
