"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-FD5AD57F","DISTRIB","ANNUAL","Species distribution","Geographical range","India south of the Himalayas, east to Bihar and western Bengal.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-FD5AD57F","DISTRIB","ANNUAL","Species distribution","Geographical range","NE Pakistan, India and nw Bangladesh","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-FD5AD57F","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","32.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","8.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","21.41","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","79.19","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2062731.9","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FD5AD57F","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-FD5AD57F","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","HABITAT","DESCR","Habitat","Habitat description","deciduous parkland and open thorn forest, favouring open woodland with figs;also gardens and villages","","","","","Sibley 1996",""
"avibase-FD5AD57F","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FD5AD57F","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FD5AD57F","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FD5AD57F","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.72","cm","2.61","2.83","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","3.1","cm","3.1","3.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.91","cm","2.61","3.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","8.5882","cm","7.964","9.184","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","11.0985","cm","10.58","11.374","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","6.95","cm","6.88","7.02","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","9.055","cm","8.69","9.42","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","8.0025","cm","6.88","9.42","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FD5AD57F","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","9.70389","cm","7.964","11.374","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
