"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DD855E67","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: widespread, also e Asia","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-DD855E67","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","53.9","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","5.92","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","31.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","111.91","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","DISTRIB","RANGE_SIZE","Species distribution","Total range size","7325311.2","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DD855E67","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-DD855E67","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","HABITAT","DESCR","Habitat","Habitat description","forest, riparian woodland;lowlands-2500m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-DD855E67","HABITAT","DESCR","Habitat","Habitat description","Forest and woodland. ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-DD855E67","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DD855E67","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DD855E67","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DD855E67","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.89","cm","0.85","0.93","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.88","cm","0.83","0.95","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.883333","cm","0.83","0.95","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.855","cm","1.8","1.91","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.825","cm","1.73","1.88","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.015","cm","1.01","1.02","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.9975","cm","0.92","1.03","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.00333","cm","0.92","1.03","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.835","cm","1.73","1.91","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.6","cm","0.59","0.61","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.57","cm","0.53","0.65","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.58","cm","0.53","0.65","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","MASS","Body measurements","Body mass","78.09","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","MASS","Body measurements","Body mass","89.35","g","72.1","99.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD855E67","BODY","MASS_F","Body measurements","Body mass (females)","91.75","g","68","102","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD855E67","BODY","MASS_HATCH","Body measurements","Hatchling body mass","9.3","g","9.3","9.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD855E67","BODY","MASS_M","Body measurements","Body mass (males)","73","g","72.2","76.6","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD855E67","BODY","MASS_U","Body measurements","Body mass (sex unknown)","86","g","72.1","99.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD855E67","BODY","SVL","Body measurements","Snout-to-vent length (adults)","17.25","cm","17","17.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD855E67","BODY","TAIL_F","Body measurements","Tail length (females)","6.15","cm","6","6.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","TAIL_M","Body measurements","Tail length (males)","6.225","cm","6","6.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.2","cm","6","6.4","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.51","cm","2.4","2.62","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.335","cm","2.25","2.48","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.39333","cm","2.25","2.62","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_F","Body measurements","Wing length (females)","14.35","cm","14.1","14.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","102.5","%","97","108","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","98.25","%","93","101","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","99.6667","%","93","108","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","4.1","cm","3.8","4.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","4.375","cm","4.1","4.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","4.28333","cm","3.8","4.7","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_M","Body measurements","Wing length (males)","14.2","cm","14","14.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","10.25","cm","9.7","10.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","9.825","cm","9.3","10.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD855E67","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","9.96667","cm","9.3","10.8","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
