"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-535DB169","DISTRIB","ANNUAL","Species distribution","Geographical range","Lowlands of Sulawesi","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-535DB169","DISTRIB","ANNUAL","Species distribution","Geographical range","Celebes.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-535DB169","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","1.76","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-5.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-0.82","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","122.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","DISTRIB","RANGE_SIZE","Species distribution","Total range size","55595.11","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-535DB169","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-535DB169","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","HABITAT","DESCR","Habitat","Habitat description","dense, rank grassland (esp.Imperata cylindrica), overgrown cultivation, low scrub mixed with grass, esp.at edge of rice and corn fields, and tall grass bordering forest;lowlands to 1400m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-535DB169","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-535DB169","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-535DB169","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1","cm","1","1","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.9825","cm","0.9","1.02","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.52","cm","3.52","3.52","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.63","cm","1.63","1.63","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.705","cm","1.63","1.83","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.5775","cm","3.41","3.72","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.59","cm","0.59","0.59","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.5525","cm","0.48","0.61","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","MASS","Body measurements","Body mass","180","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","MASS","Body measurements","Body mass","175","g","175","175","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-535DB169","BODY","TAIL_M","Body measurements","Tail length (males)","6.6","cm","6.6","6.6","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.3","cm","5.5","7.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","TARSUS_M","Body measurements","Tarsus length (males)","6.3","cm","6.3","6.3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","6.4975","cm","6.3","6.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","127","%","127","127","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","130.525","%","121.7","139.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","3.7","cm","3.7","3.7","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","3.6725","cm","3.44","3.92","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","WING_M","Body measurements","Wing length (males)","16.4","cm","16.4","16.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","12.7","cm","12.7","12.7","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","13.0525","cm","12.17","13.96","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-535DB169","BODY","WING_U","Body measurements","Wing length (sex unknown)","16.725","cm","15.8","17.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
