"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-64A8A820","DISTRIB","ANNUAL","Species distribution","Geographical range","Java, Borneo. 3","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-64A8A820","DISTRIB","ANNUAL","Species distribution","Geographical range","Java","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-64A8A820","DISTRIB","ANNUAL","Species distribution","Geographical range","Java","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-64A8A820","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-5.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-8.78","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-7.3","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","109.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","DISTRIB","RANGE_SIZE","Species distribution","Total range size","125365.64","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","HABITAT","DESCR","Habitat","Habitat description","Riverine","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.14","cm","4.9","5.4","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.28","cm","4.9","5.5","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.21","cm","4.9","5.5","20","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","BODY","MASS","Body measurements","Body mass","43.08","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","BODY","WING_F","Body measurements","Wing length (females)","8.5","cm","8.3","8.7","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","BODY","WING_M","Body measurements","Wing length (males)","8.61","cm","8.4","8.8","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-64A8A820","BODY","WING_U","Body measurements","Wing length (sex unknown)","8.555","cm","8.3","8.8","20","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
