"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-55751EC2","DISTRIB","ANNUAL","Species distribution","Geographical range","Java (chiefly eastern),^ Bali, Kangean Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-55751EC2","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: Java, Bali and Kangean Is. (n of Bali)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-55751EC2","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-6.83","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-8.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-8.15","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","114.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","DISTRIB","RANGE_SIZE","Species distribution","Total range size","19219.13","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1","cm","0.99","1.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.965","cm","0.93","1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.9825","cm","0.93","1.01","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.225","cm","4.14","4.31","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.365","cm","4.08","4.65","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.185","cm","3.16","3.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.22","cm","2.95","3.49","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.2025","cm","2.95","3.49","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.295","cm","4.08","4.65","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.02","cm","1","1.04","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.975","cm","0.94","1.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.9975","cm","0.94","1.04","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","MASS","Body measurements","Body mass","170.9166667","g","142","233","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-55751EC2","BODY","MASS","Body measurements","Body mass","142","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-55751EC2","BODY","MASS_F","Body measurements","Body mass (females)","174.5","g","160","189","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-55751EC2","BODY","MASS_M","Body measurements","Body mass (males)","211","g","211","211","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-55751EC2","BODY","MASS_U","Body measurements","Body mass (sex unknown)","144.5","g","142","192","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
