"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-79EB0827","DISTRIB","ANNUAL","Species distribution","Geographical range","Locally in Andes of Colombia to n Chile and Argentina","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-79EB0827","DISTRIB","ANNUAL","Species distribution","Geographical range","Andean lakes from southwestern Colombia (southern Cauca, Nariho) to northern Chile (Antofagasta) and northwestern Argentina (Jujuy, Salta); 2,500 to 5,000 meters.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-79EB0827","DISTRIB","ANNUAL","Species distribution","Geographical range","montane lakes of c Andes of Colombia to n Chile and nw Argentina","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-79EB0827","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","4.89","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-28.3","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-18.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-68.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","DISTRIB","RANGE_SIZE","Species distribution","Total range size","871982.44","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","HABITAT","DESCR","Habitat","Habitat description","marshy ponds, lakes;Andes, 2500-5000m","","","","","Sibley 1996",""
"avibase-79EB0827","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.543333","cm","0.51","0.58","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.6","cm","0.53","0.65","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.580909","cm","0.51","0.65","11","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.11667","cm","1.84","2.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.315","cm","1.87","2.63","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.10333","cm","1.07","1.15","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.2325","cm","1.13","1.29","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.17714","cm","1.07","1.29","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.21818","cm","1.84","2.63","11","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.44","cm","0.32","0.51","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.5025","cm","0.44","0.59","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.507273","cm","0.32","0.64","11","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","MASS","Body measurements","Body mass","320.69","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","TAIL_F","Body measurements","Tail length (females)","3.1","cm","3","3.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","TAIL_M","Body measurements","Tail length (males)","3.1","cm","3","3.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.7375","cm","2.3","3.2","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","TARSUS_F","Body measurements","Tarsus length (females)","3.86333","cm","3.67","4.23","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","TARSUS_M","Body measurements","Tarsus length (males)","3.835","cm","3.02","4.17","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","3.77273","cm","3.02","4.23","11","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","WING_F","Body measurements","Wing length (females)","12.5967","cm","12.2","13.29","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","83.2667","%","74.5","97.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-79EB0827","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","87.9","%","77.3","99.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
