"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-16804FAF","DISTRIB","ANNUAL","Species distribution","Geographical range","New Zealand: North Island (now confined to the central mountain ranges); South Island (chiefly in the northern and western portions); Stewart Island (now extirpated).","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-16804FAF","DISTRIB","ANNUAL","Species distribution","Geographical range","Nothofagus forests of New Zealand (on verge of extinction)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-16804FAF","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-36.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-46.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-41.55","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","170.89","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","DISTRIB","RANGE_SIZE","Species distribution","Total range size","57.25","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-16804FAF","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-16804FAF","HABITAT","ALT","Habitat","Altitude","","m","","300","-1","Birdlife's Worldbird Database",""
"avibase-16804FAF","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","HABITAT","DESCR","Habitat","Habitat description","Nothofagus forest, scrubby tussock meadows","","","","","Sibley 1996",""
"avibase-16804FAF","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-16804FAF","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-16804FAF","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","3.901","cm","3.901","3.901","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","3.75429","cm","3.45","3.943","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-16804FAF","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.59","cm","","","25","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-16804FAF","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.87","cm","","","40","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
