"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0A787822","DISTRIB","ANNUAL","Species distribution","Geographical range","Europe, Africa, Asia: widespread","","","","","IOC 10.1","http://www.worldbirdnames.org/"
"avibase-0A787822","BODY","MASS","Body measurements","Body mass","42.3","g","37","47.65","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","BODY","MASS_F","Body measurements","Body mass (females)","46.1","g","42","47.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","BODY","MASS_HATCH","Body measurements","Hatchling body mass","6.25","g","6","6.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","BODY","MASS_M","Body measurements","Body mass (males)","44","g","42","48.2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","BODY","MASS_U","Body measurements","Body mass (sex unknown)","42","g","41.2","46.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","EGGS","MASS","Eggs","Egg mass","8.9","g","8.5","9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","REPROD","AGE1ST_F","Reproduction","Age at first breeding (females)","1.2","years","0.8","1.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","REPROD","AGE1ST_M","Reproduction","Age at first breeding (males)","0.9","years","0.9","0.9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","REPROD","CLUTCHSZ","Reproduction","Clutch size","3","n","2.9","3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","REPROD","FLEDGING","Reproduction","Fledging period","29","days","29","29","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","REPROD","FREQ","Reproduction","Number of breeding attempts per year","1.5","n/year","1.5","1.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","REPROD","INCUBATION","Reproduction","Incubation period","25","days","24","26","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","SURVIVAL","MAXAGE","Survival","Maximum age","19","years","7","19","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0A787822","SURVIVAL","MEAN","Survival","Average survival","15","years","","","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
