"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-4FC41CA0","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, flat open country: S Ethiopia, NW Somalia - N Tanzania; S Angola, Namibia - S Mozambique, South Africa (not south and east).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-4FC41CA0","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: e, s","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-4FC41CA0","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","10.77","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-32.58","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-16.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","26.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3565934.25","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4FC41CA0","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-4FC41CA0","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","HABITAT","DESCR","Habitat","Habitat description","Grassland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","HABITAT","DESCR","Habitat","Habitat description","flat arid, mostly open country, usually with a short herb layer, e.g.grassland, karoo, bushveld, thornveld, scrubland & savanna;also floodplains, duneland, & wheat fields and firebeaks;generally below 2000m","","","","","Sibley 1996",""
"avibase-4FC41CA0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4FC41CA0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4FC41CA0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.75","cm","1.7","1.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.348","cm","2.274","2.39","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.1088","cm","1.7","2.39","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","10.29","cm","9.98","10.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","8.8","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-4FC41CA0","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","10.65","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-4FC41CA0","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","11.849","cm","11.2","12.547","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","5.655","cm","5.54","5.77","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","6.875","cm","6.73","7.02","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","6.265","cm","5.54","7.02","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","11.2254","cm","9.98","12.547","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.9","cm","1.83","1.97","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","2.22533","cm","2.106","2.39","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","2.0952","cm","1.83","2.39","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","MASS","Body measurements","Body mass","7994.16","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4FC41CA0","BODY","MASS","Body measurements","Body mass","10900","g","5500","19000","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-4FC41CA0","BODY","MASS_F","Body measurements","Body mass (females)","5825","g","5500","5900","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
