"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-013EE59F","DISTRIB","ANNUAL","Species distribution","Geographical range","Pacific Ocean: Caroline Islands, Fiji Islands, Tonga, Samoa","","","","","IOC 6.1","http://www.worldbirdnames.org/"
"avibase-013EE59F","DISTRIB","REALM","Species distribution","Realm","Oceania","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-013EE59F","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-013EE59F","HABITAT","DESCR","Habitat","Habitat description","forest","","","","","Sibley 1996",""
"avibase-013EE59F","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-013EE59F","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-013EE59F","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-013EE59F","BODY","MASS","Body measurements","Body mass","103.2","g","93.5","105","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-013EE59F","BODY","MASS_U","Body measurements","Body mass (sex unknown)","103.2","g","93.5","105","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-013EE59F","REPROD","CLUTCHSZ","Reproduction","Clutch size","1.4","n","1.4","1.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
