"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-BBFF0963","DISTRIB","ANNUAL","Species distribution","Geographical range","Southern British Columbia and southeastern Saskatchewan south to Lower California and southern Mexico.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-BBFF0963","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","53.54","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBFF0963","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","23.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBFF0963","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","40.14","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBFF0963","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-111.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBFF0963","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBFF0963","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3975634.14","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBFF0963","DISTRIB","REALM","Species distribution","Realm","Nearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BBFF0963","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-BBFF0963","HABITAT","ALT","Habitat","Altitude","","m","","2300","-1","Birdlife's Worldbird Database",""
