"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-A5BD6149","DISTRIB","ANNUAL","Species distribution","Geographical range","Northeastern Peru; Brazil north of the Amazon east to the Jamunda, and south of the Amazon east to the Tapajoz, extending up the Jurua to Joao Pessoa, and up the Rio Beni in Bolivian territory to Victoria.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-A5BD6149","DISTRIB","ANNUAL","Species distribution","Geographical range","River islands of R. Amazon and its major tributaries","","","","","Clements 6","http://www.birds.cornell.edu/clementschecklist"
"avibase-A5BD6149","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-0.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-14.2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-64.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","DISTRIB","RANGE_SIZE","Species distribution","Total range size","412230.35","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A5BD6149","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-A5BD6149","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","HABITAT","DESCR","Habitat","Habitat description","river island forest, scrub","","","","","Sibley 1996",""
"avibase-A5BD6149","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A5BD6149","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A5BD6149","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A5BD6149","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.324","cm","0.304","0.34","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.344","cm","0.33","0.36","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.332571","cm","0.304","0.36","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.571","cm","1.53","1.613","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.535","cm","1.53","1.54","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.943","cm","0.89","0.999","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.95","cm","0.94","0.96","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.9465","cm","0.89","0.999","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.5566","cm","1.53","1.613","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.35825","cm","0.321","0.402","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.344333","cm","0.34","0.35","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.352286","cm","0.321","0.402","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","MASS","Body measurements","Body mass","9.3","g","9.3","9.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-A5BD6149","BODY","MASS","Body measurements","Body mass","9.3","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","MASS_M","Body measurements","Body mass (males)","9.3","g","9.3","9.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-A5BD6149","BODY","TAIL_F","Body measurements","Tail length (females)","2.921","cm","2.784","3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","TAIL_M","Body measurements","Tail length (males)","2.98167","cm","2.9","3.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.947","cm","2.784","3.1","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.616","cm","1.557","1.69","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.66933","cm","1.65","1.688","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.63886","cm","1.557","1.69","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_F","Body measurements","Wing length (females)","5.0755","cm","5","5.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","45.2967","%","44.4","46.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","46.0467","%","45.4","46.54","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","45.6717","%","44.4","46.54","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","0.61","cm","0.55","0.67","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","0.72","cm","0.68","0.76","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","0.665","cm","0.55","0.76","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_M","Body measurements","Wing length (males)","5.23933","cm","5.118","5.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","4.52967","cm","4.44","4.65","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","4.60467","cm","4.54","4.654","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","4.56717","cm","4.44","4.654","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A5BD6149","BODY","WING_U","Body measurements","Wing length (sex unknown)","5.14571","cm","5","5.3","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
