"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0EB857AC","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic, Asia: w Himalayas, w China","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-0EB857AC","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","38.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","32.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","35.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","76.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","DISTRIB","RANGE_SIZE","Species distribution","Total range size","72981.07","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0EB857AC","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-0EB857AC","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","HABITAT","DESCR","Habitat","Habitat description","dank thorn scrub, rank grass, bracken;Himalayas 2400-3600m","","","","","Sibley 1996",""
"avibase-0EB857AC","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0EB857AC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0EB857AC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0EB857AC","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.305","cm","0.29","0.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.297","cm","0.28","0.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.3002","cm","0.28","0.32","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.555","cm","1.55","1.56","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.60033","cm","1.51","1.73","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.04","cm","1.01","1.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.03","cm","0.93","1.13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.035","cm","0.93","1.13","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.5822","cm","1.51","1.73","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.29","cm","0.28","0.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.283667","cm","0.28","0.29","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.2862","cm","0.28","0.3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","MASS","Body measurements","Body mass","13.3","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","TAIL_F","Body measurements","Tail length (females)","6","cm","5.9","6.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","TAIL_M","Body measurements","Tail length (males)","6.1","cm","5.5","6.4","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.06","cm","5.5","6.4","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.21","cm","2.19","2.23","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.099","cm","2.01","2.207","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.1434","cm","2.01","2.23","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","WING_F","Body measurements","Wing length (females)","5.7","cm","5.7","5.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0EB857AC","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","47.5","%","47.1","47.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
