"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0307D245","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, forest: Madagascar (francesii); Grand Comoro (griveaudi); Anjouan (pusillus); Mayotte (brutus).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-0307D245","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: Madagascar region","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-0307D245","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-11.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-25.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-19.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","46.67","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","DISTRIB","RANGE_SIZE","Species distribution","Total range size","519468.81","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0307D245","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-0307D245","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","HABITAT","DESCR","Habitat","Habitat description","forest, woodland, savanna, brush;lowlands-1800m","","","","","Sibley 1996",""
"avibase-0307D245","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0307D245","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0307D245","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0307D245","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.115","cm","1.06","1.17","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.06","cm","0.97","1.15","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.071","cm","0.97","1.17","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.055","cm","2.02","2.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.01687","cm","1.845","2.17","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.3","cm","1.29","1.31","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.31714","cm","1.18","1.45","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.31333","cm","1.18","1.45","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.0245","cm","1.845","2.17","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.935","cm","0.9","0.97","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0307D245","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.857125","cm","0.8","0.94","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
