"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-BAAC66AF","DISTRIB","ANNUAL","Species distribution","Geographical range","Madeira.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-BAAC66AF","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, laurel and Erica forest: Madeira.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-BAAC66AF","DISTRIB","ANNUAL","Species distribution","Geographical range","Laurel forests of Madeira","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-BAAC66AF","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","32.87","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BAAC66AF","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","32.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BAAC66AF","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","32.76","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BAAC66AF","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-16.99","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BAAC66AF","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BAAC66AF","DISTRIB","RANGE_SIZE","Species distribution","Total range size","549.16","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BAAC66AF","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BAAC66AF","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-BAAC66AF","HABITAT","ALT","Habitat","Altitude","","m","","850","-1","Birdlife's Worldbird Database",""
"avibase-BAAC66AF","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BAAC66AF","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BAAC66AF","HABITAT","DESCR","Habitat","Habitat description","laurel forests (nearing extinction)","","","","","Sibley 1996",""
"avibase-BAAC66AF","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
