"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-34D6EE78","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-34D6EE78","HABITAT","ALT","Habitat","Altitude","","m","","4400","-1","Birdlife's Worldbird Database",""
"avibase-34D6EE78","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","HABITAT","DESCR","Habitat","Habitat description","A wide variety of forested habitats, moist or arid, deciduous or evergreen lowland forest to open temperate woodland, including second-growth forest, swamps, orchards, parklands, riverine forest, brushy hillsides, and semi-desert (Tropical to Alpine zones, most commonly Subtropical and Temperate zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-34D6EE78","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.75","cm","","","57","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.55","cm","","","59","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.342","cm","4.342","4.342","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.183","cm","1.183","1.183","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","BODY","MASS","Body measurements","Body mass","1354.5","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","BODY","MASS_F","Body measurements","Body mass (females)","1706","grams","","","772","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","MASS_M","Body measurements","Body mass (males)","1304","grams","","","895","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","TAIL_F","Body measurements","Tail length (females)","22.6","cm","","","59","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","TAIL_M","Body measurements","Tail length (males)","21","cm","","","60","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","TARSUS_F","Body measurements","Tarsus length (females)","11.75","cm","","","84","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","TARSUS_M","Body measurements","Tarsus length (males)","11.3","cm","","","54","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","5.89","cm","5.89","5.89","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-34D6EE78","BODY","WING_F","Body measurements","Wing length (females)","37.05","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","BODY","WING_M","Body measurements","Wing length (males)","35.7","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","EGGS","MASS","Eggs","Egg mass","69","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","REPROD","CLUTCHSZ","Reproduction","Clutch size","2.55","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","REPROD","CLUTCHSZ","Reproduction","Clutch size","1-6","","","","","http://www.birdzilla.com","http://www.birdzilla.com/"
"avibase-34D6EE78","REPROD","DISPLAY","Reproduction","Mating displays","ground displays only, including displays on trees and bushes","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-34D6EE78","REPROD","FLEDGING","Reproduction","Fledging period","35","","","","","http://www.birdzilla.com","http://www.birdzilla.com/"
"avibase-34D6EE78","REPROD","INCUBATION","Reproduction","Incubation period","26-35","","","","","http://www.birdzilla.com","http://www.birdzilla.com/"
"avibase-34D6EE78","REPROD","SHARING","Reproduction","Mate resource sharing","males and females share resources on their territory all year round.","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
