"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-D24B3E57","DISTRIB","ANNUAL","Species distribution","Geographical range","Mountains of Malay Peninsula","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-D24B3E57","DISTRIB","ANNUAL","Species distribution","Geographical range","Mountains of the Malay Peninsula from Perak to southern Selangor.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-D24B3E57","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","5.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","2.97","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","4.6","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","101.9","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","DISTRIB","RANGE_SIZE","Species distribution","Total range size","17082.49","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D24B3E57","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","HABITAT","DESCR","Habitat","Habitat description","undergrowth of primary broad-leaved evergreen forest(upper dipterocarp, lower montane & tall upper montane)orest;750-1600m, mainly above 1100m","","","","","Sibley 1996",""
"avibase-D24B3E57","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D24B3E57","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D24B3E57","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.715","cm","0.71","0.72","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.79","cm","0.75","0.83","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.7525","cm","0.71","0.83","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2","cm","1.98","2.02","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.38","cm","2.37","2.39","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.87","cm","0.83","0.91","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.005","cm","0.99","1.02","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.9375","cm","0.83","1.02","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.19","cm","1.98","2.39","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.49","cm","0.48","0.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.625","cm","0.62","0.63","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.5575","cm","0.48","0.63","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","MASS","Body measurements","Body mass","305","g","271","336.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D24B3E57","BODY","MASS","Body measurements","Body mass","336","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","MASS_U","Body measurements","Body mass (sex unknown)","336","g","271","336.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D24B3E57","BODY","TAIL_F","Body measurements","Tail length (females)","4.9","cm","4.8","5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","TAIL_M","Body measurements","Tail length (males)","5.5","cm","5.4","5.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","5.2","cm","4.8","5.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","TARSUS_F","Body measurements","Tarsus length (females)","3.865","cm","3.7","4.03","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","TARSUS_M","Body measurements","Tarsus length (males)","4.215","cm","4.13","4.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","4.04","cm","3.7","4.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","WING_F","Body measurements","Wing length (females)","12.6","cm","11.9","13.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D24B3E57","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","95.2","%","91","99.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
