"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-C732CB10","DISTRIB","ANNUAL","Species distribution","Geographical range","Manitoba east to Labrador and Newfoundland, south to Min- nesota, Great Lakes states, and coastal North Carolina. Win- ters from southern part of breeding range south to the Gulf coast (to southern Texas) and northern Florida.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-C732CB10","DISTRIB","ANNUAL","Species distribution","Geographical range","Vagrant: Azores, Canary Is (1 record).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-C732CB10","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","59.56","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","34.59","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","49.93","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-79.67","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","DISTRIB","RANGE_SIZE","Species distribution","Total range size","4118764.61","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","DISTRIB","REALM","Species distribution","Realm","Nearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C732CB10","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-C732CB10","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","HABITAT","DESCR","Habitat","Habitat description","A variety of wetland habitats in both fresh-water and marine situations, in and around marshes, swamps, ponds, lakes, bays, estuaries, and tidal flats, favoring wooded swamps for breeding; in winter, primarily estuaries, tidal marshes, lakes, and ponds. ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-C732CB10","HABITAT","DESCR","Habitat","Habitat description","marshes, winters estuaries, brackish coastal marshes, sheltered bays","","","","","Sibley 1996",""
"avibase-C732CB10","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Herbivore aquatic surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C732CB10","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C732CB10","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C732CB10","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.69","cm","1.54","1.84","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.70467","cm","1.584","1.77","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.6988","cm","1.54","1.84","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.665","cm","5.51","5.82","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.123","cm","5.78","6.569","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","4.05","cm","3.97","4.13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","4.34","cm","4.2","4.48","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","4.195","cm","3.97","4.48","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.9398","cm","5.51","6.569","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.975","cm","1.95","2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","2.08333","cm","2.01","2.18","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","2.04","cm","1.95","2.18","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C732CB10","BODY","MASS","Body measurements","Body mass","1240.96","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
