"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-1F360691","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, coastal mangroves and other wooded habitats: S Somalia - E Cape.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-1F360691","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: e, se coasts","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-1F360691","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","3.19","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-31.73","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-15.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","37.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","DISTRIB","RANGE_SIZE","Species distribution","Total range size","193724.21","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1F360691","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-1F360691","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","HABITAT","DESCR","Habitat","Habitat description","mangroves, open woodland;coastal lowlands","","","","","Sibley 1996",""
"avibase-1F360691","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic perch","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1F360691","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1F360691","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1F360691","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.345","cm","1.23","1.46","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.38033","cm","1.301","1.44","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.3662","cm","1.23","1.46","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.095","cm","4.89","5.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.05633","cm","4.85","5.28","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","4.12","cm","3.89","4.35","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","4.075","cm","3.83","4.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","4.0975","cm","3.83","4.35","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.0718","cm","4.85","5.3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.39","cm","1.37","1.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.357","cm","1.321","1.38","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.3702","cm","1.321","1.41","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","MASS","Body measurements","Body mass","61.8","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","MASS","Body measurements","Body mass","61.9","g","61.5","66","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1F360691","BODY","MASS_F","Body measurements","Body mass (females)","63","g","63","63","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1F360691","BODY","MASS_F","Body measurements","Body mass (females)","63","grams","","","2","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1F360691","BODY","MASS_M","Body measurements","Body mass (males)","61","grams","","","3","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1F360691","BODY","MASS_M","Body measurements","Body mass (males)","61","g","61","61","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1F360691","BODY","MASS_U","Body measurements","Body mass (sex unknown)","61.65","g","61.5","61.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1F360691","BODY","TAIL_F","Body measurements","Tail length (females)","6.15","cm","","","11","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1F360691","BODY","TAIL_F","Body measurements","Tail length (females)","6.5","cm","6.5","6.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","TAIL_M","Body measurements","Tail length (males)","6.7","cm","6.5","7","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","TAIL_M","Body measurements","Tail length (males)","6.03","cm","","","20","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1F360691","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.62","cm","6.5","7","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.565","cm","1.47","1.66","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F360691","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.54967","cm","1.5","1.619","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
