"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-1DC414D2","DISTRIB","ANNUAL","Species distribution","Geographical range","Admiralty Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-1DC414D2","DISTRIB","ANNUAL","Species distribution","Geographical range","PNG, Los Negros, Manus","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-1DC414D2","DISTRIB","ANNUAL","Species distribution","Geographical range","Manus (Admiralty Islands)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-1DC414D2","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-1.96","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-2.25","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-2.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","146.91","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1830.14","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1DC414D2","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-1DC414D2","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","HABITAT","DESCR","Habitat","Habitat description","forest and degraded forest;also riparian cultivation and areas with trees around villages","","","","","Sibley 1996",""
"avibase-1DC414D2","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1DC414D2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1DC414D2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1DC414D2","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.6","cm","1.6","1.6","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.6","cm","1.6","1.6","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.71","cm","2.71","2.71","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.59","cm","1.59","1.59","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.59","cm","1.59","1.59","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.71","cm","2.71","2.71","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.06","cm","1.06","1.06","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.06","cm","1.06","1.06","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","MASS","Body measurements","Body mass","265","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1DC414D2","BODY","TAIL_M","Body measurements","Tail length (males)","13.1","cm","13.1","13.1","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
