"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B31940E1","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: Madagascar region","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-B31940E1","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B31940E1","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B31940E1","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B31940E1","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B31940E1","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.32","cm","0.31","0.33","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.349","cm","0.337","0.37","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.3374","cm","0.31","0.37","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.435","cm","1.42","1.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.47833","cm","1.4","1.545","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.725","cm","0.7","0.75","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.715","cm","0.63","0.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.72","cm","0.63","0.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.461","cm","1.4","1.545","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.29","cm","0.28","0.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.335333","cm","0.3","0.366","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.3172","cm","0.28","0.366","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","MASS","Body measurements","Body mass","19.7","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","MASS","Body measurements","Body mass","19.775","g","19.75","19.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B31940E1","BODY","MASS_U","Body measurements","Body mass (sex unknown)","19.775","g","19.75","19.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B31940E1","BODY","TAIL_F","Body measurements","Tail length (females)","7.7","cm","7","8.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","TAIL_M","Body measurements","Tail length (males)","7.43333","cm","7","8","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.54","cm","7","8.4","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.355","cm","2.33","2.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.408","cm","2.214","2.51","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.3868","cm","2.214","2.51","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_F","Body measurements","Wing length (females)","6.075","cm","6","6.15","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","52.85","%","52.5","53.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","57.95","%","55.1","60.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","55.4","%","52.5","60.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","0.79","cm","0.75","0.83","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","0.83","cm","0.64","1.02","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","0.81","cm","0.64","1.02","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_M","Body measurements","Wing length (males)","6.48333","cm","6.15","7.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","5.285","cm","5.25","5.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","5.795","cm","5.51","6.08","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","5.54","cm","5.25","6.08","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","BODY","WING_U","Body measurements","Wing length (sex unknown)","6.32","cm","6","7.1","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B31940E1","REPROD","CLUTCHSZ","Reproduction","Clutch size","2","n","2","2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
