"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-49C57A6B","DISTRIB","ANNUAL","Species distribution","Geographical range","Known definitely only from the Island of Obi, Moluccas.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-49C57A6B","DISTRIB","ANNUAL","Species distribution","Geographical range","Known from 8 specimens from n Moluccas (Obi and Bacan)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-49C57A6B","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-0.38","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-1.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-0.81","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","127.57","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","DISTRIB","RANGE_SIZE","Species distribution","Total range size","289.35","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49C57A6B","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-49C57A6B","HABITAT","ALT","Habitat","Altitude","","m","500","","-1","Birdlife's Worldbird Database",""
"avibase-49C57A6B","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","HABITAT","DESCR","Habitat","Habitat description","interior forests and during dry periods it is sometimes flushed (from very close range and generally for a short distance) from ridgetops above c.500 m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-49C57A6B","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49C57A6B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49C57A6B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49C57A6B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.23","cm","1.23","1.23","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","7.96","cm","7.96","7.96","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","9.55","cm","9.55","9.55","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.81","cm","0.81","0.81","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","MASS","Body measurements","Body mass","308.3","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.4","cm","7.4","7.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","4.35","cm","4.35","4.35","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","138","%","138","138","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","5.3","cm","5.3","5.3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49C57A6B","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","13.8","cm","13.8","13.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
