"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-7B055529","DISTRIB","ANNUAL","Species distribution","Geographical range","S Myanmar, Mergui Arch., Malay Pen., Sumatra and Borneo","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-7B055529","DISTRIB","ANNUAL","Species distribution","Geographical range","Tenasserim south over the Malay Peninsula; Mergui Archipelago; Siam; Java and Borneo.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-7B055529","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","15.42","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7B055529","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-5.95","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7B055529","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","2.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7B055529","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","107.54","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7B055529","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7B055529","DISTRIB","RANGE_SIZE","Species distribution","Total range size","976640.03","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7B055529","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7B055529","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-7B055529","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7B055529","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7B055529","HABITAT","DESCR","Habitat","Habitat description","forest, second growth;lowlands-900m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
