"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-C689BD7E","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, PNG, Sol, Aru, Batanta, Biak, Gebe, Misool, New Guinea, Numfor, Waigeo, West Papuan Islands, Yapen, Bougainville, Buka, Djaul, Duke of York, Emira, Feni, Kung, Lihir, Lolobau, Long, Los Negros, Lou, Mahur, Manus, Mussau, New Britain, New Guinea, New Hanover, New Ireland, Rambutyo, Tabar, Tanga, Umboi, Vuatom, Banika, Buena Vista, Choiseul, Fauro, Gatukai, Gizo, Guadalcanal, Kohinggo, Kulambangra, Makira, Malaita, New Georgia, Pavuvu, Ranongga, Rendova, Rennell, Ropa, Russell Grp, Santa Anna, Santa Catalina, Santa Isabel, Shortlands, Simbo, Tetipari, Three Sisters, Vangunu, Vella Lavella, Vona Vona","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-C689BD7E","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: n, c Moluccas, New Guinea, Bismarck Arch. and Solomon Is.","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-C689BD7E","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","2.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-11.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","141.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","DISTRIB","RANGE_SIZE","Species distribution","Total range size","805813.24","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C689BD7E","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-C689BD7E","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","HABITAT","DESCR","Habitat","Habitat description","forest edge, second growth;lowlands-1200m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-C689BD7E","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C689BD7E","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C689BD7E","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C689BD7E","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.28","cm","0.26","0.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.275","cm","0.27","0.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2775","cm","0.26","0.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.413","cm","1.199","1.63","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.445","cm","1.39","1.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.535","cm","0.53","0.54","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.535","cm","0.44","0.63","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.535","cm","0.44","0.63","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.4258","cm","1.199","1.63","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.466","cm","0.44","0.498","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.46","cm","0.44","0.48","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.4636","cm","0.44","0.498","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","MASS","Body measurements","Body mass","69","g","68.5","70.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-C689BD7E","BODY","MASS","Body measurements","Body mass","70.1","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","MASS_F","Body measurements","Body mass (females)","60","g","60","60","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-C689BD7E","BODY","MASS_U","Body measurements","Body mass (sex unknown)","70.1","g","68.5","78","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-C689BD7E","BODY","SVL","Body measurements","Snout-to-vent length (adults)","29","cm","29","29","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-C689BD7E","BODY","TAIL_F","Body measurements","Tail length (females)","17.5667","cm","16.8","18.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","TAIL_M","Body measurements","Tail length (males)","17.2","cm","16.6","17.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","17.42","cm","16.6","18.9","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.01533","cm","0.97","1.06","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.01","cm","0.97","1.05","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C689BD7E","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.0132","cm","0.97","1.06","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
