"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-68BF920B","DISTRIB","ANNUAL","Species distribution","Geographical range","New Britain.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-68BF920B","DISTRIB","ANNUAL","Species distribution","Geographical range","PNG, New Britain, New Ireland","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-68BF920B","DISTRIB","ANNUAL","Species distribution","Geographical range","New Britain (Bismarck Archipelago)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-68BF920B","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-4.08","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-6.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","150.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","DISTRIB","RANGE_SIZE","Species distribution","Total range size","35580.71","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-68BF920B","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-68BF920B","HABITAT","ALT","Habitat","Altitude","","m","","1800","-1","Birdlife's Worldbird Database",""
"avibase-68BF920B","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","HABITAT","DESCR","Habitat","Habitat description","forest edges and partly cleared areas;sea level to 900m","","","","","Sibley 1996",""
"avibase-68BF920B","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Vertivore perch","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-68BF920B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-68BF920B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-68BF920B","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.1925","cm","1.18","1.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.1925","cm","1.18","1.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.2525","cm","2.2","2.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.3975","cm","1.36","1.44","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.3975","cm","1.36","1.44","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.2525","cm","2.2","2.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.8875","cm","0.83","0.93","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.8875","cm","0.83","0.93","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","MASS","Body measurements","Body mass","142","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68BF920B","BODY","MASS","Body measurements","Body mass","142","g","142","142","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
