"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-629FB560","DISTRIB","ANNUAL","Species distribution","Geographical range","Bismarck Archipelago: New Hanover, New Ireland.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-629FB560","DISTRIB","ANNUAL","Species distribution","Geographical range","New Hanover, New Ireland and Lihir Is.  (Bismarck Arch.)","","","","","IOC 5.3","http://www.worldbirdnames.org/"
"avibase-629FB560","DISTRIB","ANNUAL","Species distribution","Geographical range","Bismarck Arch. (New Hanover, New Ireland and Lihir Islands)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-629FB560","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-2.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-4.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-3.58","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","152.02","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","DISTRIB","RANGE_SIZE","Species distribution","Total range size","8783.42","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.795","cm","0.78","0.81","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.76","cm","0.73","0.79","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.7775","cm","0.73","0.81","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.065","cm","3.91","4.22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.055","cm","4.02","4.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.24","cm","3.1","3.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.395","cm","3.34","3.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.3175","cm","3.1","3.45","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.06","cm","3.91","4.22","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.745","cm","0.71","0.78","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.695","cm","0.69","0.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.72","cm","0.69","0.78","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","MASS","Body measurements","Body mass","21.32","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","TAIL_F","Body measurements","Tail length (females)","2.535","cm","2.46","2.61","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","TAIL_M","Body measurements","Tail length (males)","2.575","cm","2.56","2.59","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.555","cm","2.46","2.61","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","TARSUS_F","Body measurements","Tarsus length (females)","0.995","cm","0.98","1.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","TARSUS_M","Body measurements","Tarsus length (males)","0.955","cm","0.91","1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","0.975","cm","0.91","1.01","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_F","Body measurements","Wing length (females)","6.43","cm","6.34","6.52","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","53.05","%","52.5","53.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","50.3","%","50.2","50.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","51.675","%","50.2","53.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","1.125","cm","1.09","1.16","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","1.27","cm","1.27","1.27","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","1.1975","cm","1.09","1.27","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_M","Body measurements","Wing length (males)","6.3","cm","6.29","6.31","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","5.305","cm","5.25","5.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-629FB560","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","5.03","cm","5.02","5.04","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
