"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-36D14881","DISTRIB","ANNUAL","Species distribution","Geographical range","North I., Browns I., and Little Barrier I., New Zealand; extinct","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-36D14881","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.75","cm","0.75","0.75","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36D14881","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","4.46","cm","4.46","4.46","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36D14881","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.12","cm","5.12","5.12","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36D14881","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.42","cm","0.42","0.42","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36D14881","BODY","MASS","Body measurements","Body mass","108.325","g","101","116","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36D14881","BODY","MASS_F","Body measurements","Body mass (females)","116.05","g","113","117.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36D14881","BODY","MASS_M","Body measurements","Body mass (males)","101.2","g","101","103.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36D14881","BODY","MASS_U","Body measurements","Body mass (sex unknown)","108","g","108","108","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36D14881","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","3.2","cm","3.2","3.2","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36D14881","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.13","cm","2.13","2.13","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36D14881","BODY","WING_U","Body measurements","Wing length (sex unknown)","10.3","cm","10.3","10.3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36D14881","EGGS","LENGTH","Eggs","Egg length","42.65","mm","39.8","45.9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36D14881","EGGS","MASS","Eggs","Egg mass","23.5","g","20.6","25.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36D14881","EGGS","WIDTH","Eggs","Egg width","31.8","mm","30.5","33.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36D14881","REPROD","CLUTCHSZ","Reproduction","Clutch size","2","n","2","2.02","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
