"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-013B2B0B","DISTRIB","ANNUAL","Species distribution","Geographical range","N Colombia and nw Venezuela","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-013B2B0B","DISTRIB","ANNUAL","Species distribution","Geographical range","Northern Colombia and northern Venezuela.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-013B2B0B","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","11.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","3.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","9.18","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-74.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","DISTRIB","RANGE_SIZE","Species distribution","Total range size","91345.79","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-013B2B0B","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-013B2B0B","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","HABITAT","DESCR","Habitat","Habitat description","swampy backwaters, vegetation-choked lagoons, lakes;lowlands-200m","","","","","Sibley 1996",""
"avibase-013B2B0B","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Herbivore aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-013B2B0B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-013B2B0B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-013B2B0B","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.63","cm","1.63","1.63","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.52","cm","1.52","1.52","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.59","cm","1.49","1.72","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.8","cm","4.8","4.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.93","cm","4.93","4.93","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.23","cm","2.23","2.23","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2","cm","2","2","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.1375","cm","2","2.23","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.7425","cm","4.3","4.94","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.33","cm","1.33","1.33","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.22","cm","1.22","1.22","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.33","cm","1.22","1.46","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","MASS","Body measurements","Body mass","2603.5","g","2117","3090","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-013B2B0B","BODY","MASS","Body measurements","Body mass","2557.64","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","MASS_F","Body measurements","Body mass (females)","3090","g","3090","3090","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-013B2B0B","BODY","MASS_M","Body measurements","Body mass (males)","2117","g","2117","2117","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-013B2B0B","BODY","SVL","Body measurements","Snout-to-vent length (adults)","83.5","cm","83.5","83.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-013B2B0B","BODY","TAIL_F","Body measurements","Tail length (females)","17.8","cm","17.8","17.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","TAIL_M","Body measurements","Tail length (males)","19.1","cm","19.1","19.1","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","19.55","cm","17.8","21.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","TARSUS_F","Body measurements","Tarsus length (females)","11.5","cm","11.5","11.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-013B2B0B","BODY","TARSUS_M","Body measurements","Tarsus length (males)","11.55","cm","11.55","11.55","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
