"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-BBC4C9DF","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, PNG, Aru, Batanta, Misool, New Guinea, Salawati, Yapen, Daru, Dobu, Fergusson, Killerton, Motupore, New Guinea, Normanby, Vulcan, Yule","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-BBC4C9DF","DISTRIB","ANNUAL","Species distribution","Geographical range","W Papuan, Yapen, Aru is., New Guinea, D'Entrecasteaux Arch.","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-BBC4C9DF","DISTRIB","ANNUAL","Species distribution","Geographical range","Western Papuan Islands: IMisol, Batanta, Salawati; Jobi (or Japen) Island; Aru Islands; coastal districts of New Guinea except the northeast coast between Humboldt Bay and CoUingwood Bay.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-BBC4C9DF","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-0.34","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-10.73","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","139.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","DISTRIB","RANGE_SIZE","Species distribution","Total range size","479657","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BBC4C9DF","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-BBC4C9DF","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","HABITAT","DESCR","Habitat","Habitat description","mangroves, savanna, gallery forest, forest edges;lowlands-300m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-BBC4C9DF","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BBC4C9DF","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BBC4C9DF","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BBC4C9DF","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.465","cm","0.4","0.53","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.41","cm","0.4","0.42","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.4375","cm","0.4","0.53","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.87","cm","1.85","1.89","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.84","cm","1.83","1.85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.95","cm","0.93","0.97","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.96","cm","0.92","1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.955","cm","0.92","1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.855","cm","1.83","1.89","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.47","cm","0.44","0.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.46","cm","0.43","0.49","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.465","cm","0.43","0.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","MASS","Body measurements","Body mass","154.25","g","152","156.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-BBC4C9DF","BODY","MASS","Body measurements","Body mass","152","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","MASS_U","Body measurements","Body mass (sex unknown)","154.25","g","152","156.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-BBC4C9DF","BODY","TAIL_F","Body measurements","Tail length (females)","6.25","cm","6.2","6.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","TAIL_M","Body measurements","Tail length (males)","5.9","cm","5.6","6.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BBC4C9DF","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.075","cm","5.6","6.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
