"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B9ADD845","DISTRIB","ANNUAL","Species distribution","Geographical range","Andes of northeastern Colombia (Paramos of Portachuelo and Zumbador) and of western Venezuela.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-B9ADD845","DISTRIB","ANNUAL","Species distribution","Geographical range","Andes of ne Colombia to nw Venezuela (s Lara to Táchira)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-B9ADD845","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","10.04","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","5.3","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","7.28","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-72.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","DISTRIB","RANGE_SIZE","Species distribution","Total range size","38610.25","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B9ADD845","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-B9ADD845","HABITAT","ALT","Habitat","Altitude","","m","2000","3200","-1","Birdlife's Worldbird Database",""
"avibase-B9ADD845","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","HABITAT","DESCR","Habitat","Habitat description","forest, open shrubby areas;Andes 2000-3200m","","","","","Sibley 1996",""
"avibase-B9ADD845","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B9ADD845","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B9ADD845","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B9ADD845","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B9ADD845","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.174","cm","0.15","0.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
