"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-010AC994","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, PNG, Sol, Boigu, Darnley, Aru, Batanta, Biak, Kai, Misool, Salawati, New Guinea, Waigeo, Yapen, Bougainville, Buka, Djaul, Fergusson, Goodenough, Karkar, Kwaraiwa, Lolobau, Manus, New Britain, New Hanover, New Ireland, New Guinea, Normanby, San Miguel, Tabar, Tubatuba, Bagga, Choiseul, Fara, Fauro, Florida, Gatukai, Gizo, Guadalcanal, Kohinggo, Kulambangra, Makira, Malaita, Mono, New Georgia, Pavuvu, Ranongga, Rendova, Russell Grp, Santa Anna, Santa Catalina, Santa Isabel, Shortlands, Simbo, Tetipari, Ugi, Ulawa, Vella Lavella, Vona Vona","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-010AC994","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: Wallacea (except Sulawesi), New Guinea region, n, e Australia, Bismarck Arch. and Solomon Is.","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-010AC994","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","2.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-34.97","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-12.44","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","141.78","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1718124.83","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-010AC994","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-010AC994","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","HABITAT","DESCR","Habitat","Habitat description","tropical & warm-temperate forested and wooded lands, occasionally grasslands, farmlands & urban areas","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-010AC994","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-010AC994","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-010AC994","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.62","cm","1.62","1.62","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.41733","cm","1.31","1.482","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-010AC994","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.468","cm","1.31","1.62","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
