"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DB0878EA","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.46","mm","","","16","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.48","mm","","","24","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","MASS_F","Body measurements","Body mass (females)","10.9","grams","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","MASS_M","Body measurements","Body mass (males)","11.2","grams","","","18","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","TAIL_F","Body measurements","Tail length (females)","5.08","mm","","","16","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","TAIL_M","Body measurements","Tail length (males)","5.26","mm","","","26","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.16","mm","","","15","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.21","mm","","","25","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","WING_F","Body measurements","Wing length (females)","5.75","mm","","","16","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","BODY","WING_M","Body measurements","Wing length (males)","5.87","mm","","","41","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","EGGS","MASS","Eggs","Egg mass","1.47","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DB0878EA","REPROD","CLUTCHSZ","Reproduction","Clutch size","4.68","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
