"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-FDDACB60","DISTRIB","ANNUAL","Species distribution","Geographical range","Palawan (sw Philippines)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-FDDACB60","DISTRIB","ANNUAL","Species distribution","Geographical range","Island of Palawan.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-FDDACB60","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","11.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","8.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","9.86","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","118.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","DISTRIB","RANGE_SIZE","Species distribution","Total range size","8606.99","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FDDACB60","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-FDDACB60","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","HABITAT","DESCR","Habitat","Habitat description","forest, woodland;lowlands","","","","","Sibley 1996",""
"avibase-FDDACB60","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FDDACB60","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FDDACB60","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FDDACB60","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.18","cm","1.18","1.18","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.18","cm","1.18","1.18","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.24","cm","2.24","2.24","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.38","cm","1.38","1.38","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.38","cm","1.38","1.38","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.24","cm","2.24","2.24","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.73","cm","0.73","0.73","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.73","cm","0.73","0.73","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","MASS","Body measurements","Body mass","92","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","MASS","Body measurements","Body mass","112","g","108","142","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FDDACB60","BODY","MASS_F","Body measurements","Body mass (females)","142","g","142","142","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FDDACB60","BODY","MASS_M","Body measurements","Body mass (males)","112","g","112","112","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FDDACB60","BODY","MASS_U","Body measurements","Body mass (sex unknown)","110.775","g","108","121","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FDDACB60","BODY","SVL","Body measurements","Snout-to-vent length (adults)","21","cm","21","21","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FDDACB60","BODY","TAIL_F","Body measurements","Tail length (females)","7.22","cm","7.22","7.22","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.22","cm","7.22","7.22","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.72","cm","2.72","2.72","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.72","cm","2.72","2.72","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","WING_F","Body measurements","Wing length (females)","14.09","cm","14.09","14.09","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","108.5","%","108.5","108.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","108.5","%","108.5","108.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","3.23","cm","3.23","3.23","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","3.23","cm","3.23","3.23","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","10.85","cm","10.85","10.85","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","10.85","cm","10.85","10.85","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","BODY","WING_U","Body measurements","Wing length (sex unknown)","14.09","cm","14.09","14.09","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDDACB60","EGGS","MASS","Eggs","Egg mass","14.2","g","14.2","14.2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FDDACB60","REPROD","CLUTCHSZ","Reproduction","Clutch size","4","n","3.9","4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FDDACB60","SURVIVAL","MAXAGE","Survival","Maximum age","14.5","years","14.5","14.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FDDACB60","SURVIVAL","MEAN","Survival","Average survival","14.5","years","","","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
