"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-319F6754","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, grassy acacia savannas, scrubby bush: S Ethiopia, N and E Kenya, Somalia.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-319F6754","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: ne","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-319F6754","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","11.9","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-4.06","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","4.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","41.76","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1273080.06","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-319F6754","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-319F6754","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","HABITAT","DESCR","Habitat","Habitat description","savanna","","","","","Sibley 1996",""
"avibase-319F6754","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-319F6754","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-319F6754","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-319F6754","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.24","cm","0.23","0.25","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.253","cm","0.24","0.269","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2478","cm","0.23","0.269","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.21","cm","1.2","1.22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.21","cm","","","10","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-319F6754","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.2","cm","","","14","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-319F6754","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.16233","cm","1.07","1.22","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.695","cm","0.67","0.72","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.685","cm","0.68","0.69","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.69","cm","0.67","0.72","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.1814","cm","1.07","1.22","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-319F6754","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.25","cm","0.25","0.25","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
