"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B7440FF2","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, PNG, New Guinea, Yapen, Amphlett Group, Goodenough, New Britain, New Guinea, New Ireland","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-B7440FF2","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: montane Bacan (n Moluccas), Yapen (Geelvink Bay is., nw New Guinea), New Guinea and D'Entrecasteaux Arch. (e of se New Guinea)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-B7440FF2","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-0.25","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-10.77","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-4.89","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","141.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","DISTRIB","RANGE_SIZE","Species distribution","Total range size","535761.11","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B7440FF2","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-B7440FF2","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","HABITAT","DESCR","Habitat","Habitat description","primary forest;mountains 2000-3000m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-B7440FF2","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B7440FF2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B7440FF2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B7440FF2","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.535","cm","0.52","0.55","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.6","cm","0.58","0.62","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.5675","cm","0.52","0.62","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.32","cm","2.15","2.49","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.295","cm","2.21","2.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.105","cm","0.97","1.24","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.035","cm","0.94","1.13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.07","cm","0.94","1.24","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.3075","cm","2.15","2.49","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.51","cm","0.5","0.52","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.46","cm","0.45","0.47","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.485","cm","0.45","0.52","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","MASS","Body measurements","Body mass","259","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","MASS","Body measurements","Body mass","259","g","259","259","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B7440FF2","BODY","MASS_U","Body measurements","Body mass (sex unknown)","259","g","259","259","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B7440FF2","BODY","TAIL_F","Body measurements","Tail length (females)","13.8","cm","13.4","14.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","TAIL_M","Body measurements","Tail length (males)","15.85","cm","15.4","16.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","14.825","cm","13.4","16.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.28","cm","2.2","2.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.63","cm","2.63","2.63","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.455","cm","2.2","2.63","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_F","Body measurements","Wing length (females)","19.5","cm","19.4","19.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","120.15","%","117.2","123.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","130.3","%","126.2","134.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","125.225","%","117.2","134.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","7.485","cm","7.29","7.68","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","7.52","cm","7.28","7.76","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","7.5025","cm","7.28","7.76","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_M","Body measurements","Wing length (males)","20.55","cm","19.9","21.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","12.015","cm","11.72","12.31","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","13.03","cm","12.62","13.44","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","12.5225","cm","11.72","13.44","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","BODY","WING_U","Body measurements","Wing length (sex unknown)","20.025","cm","19.4","21.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B7440FF2","REPROD","CLUTCHSZ","Reproduction","Clutch size","1","n","1","1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
