"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-10591B00","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, PNG, New Guinea, New Guinea","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-10591B00","DISTRIB","ANNUAL","Species distribution","Geographical range","N New Guinea (Idenburg River to Huon Peninsula)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-10591B00","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-10591B00","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-8.24","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-10591B00","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-4.46","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-10591B00","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","142.96","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-10591B00","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-10591B00","DISTRIB","RANGE_SIZE","Species distribution","Total range size","163508.74","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-10591B00","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-10591B00","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-10591B00","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-10591B00","HABITAT","DESCR","Habitat","Habitat description","Rock","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-10591B00","HABITAT","DESCR","Habitat","Habitat description","forest, open country;lowlands-1800m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
