"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-A429B5B8","DISTRIB","ANNUAL","Species distribution","Geographical range","Pacific Ocean: coastal Arctic to subtropical North Pacific Ocean, from ne Siberia to n Japan (w North Pacific) and Aleutian Is. to n Baja California (e North Pacific) >> s to Korean Pen. and ec China (w North Pacific); to w Baja California (nw Mexico; e North Pacific)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-A429B5B8","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","70.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","31.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","56.1","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","13.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1686730.59","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A429B5B8","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","HABITAT","DESCR","Habitat","Habitat description","Marine","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic dive","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A429B5B8","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A429B5B8","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A429B5B8","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.11","cm","1.11","1.11","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.98","cm","0.83","1.13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.996","cm","0.81","1.13","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.08","cm","5.08","5.08","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.24","cm","5.22","5.26","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.82","cm","3.82","3.82","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","4.06","cm","4.06","4.06","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.88","cm","3.68","4.06","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A429B5B8","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.192","cm","4.95","5.45","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
