"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-BDFF6CEB","DISTRIB","ANNUAL","Species distribution","Geographical range","Marcapata valley, Dept. of Cuzco, Peru.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-BDFF6CEB","DISTRIB","ANNUAL","Species distribution","Geographical range","Subtropical se Peru (Huánuco, Pasco, Puno and Cuzco)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-BDFF6CEB","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-8.66","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BDFF6CEB","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-14.14","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BDFF6CEB","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-12.02","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BDFF6CEB","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-72.39","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BDFF6CEB","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BDFF6CEB","DISTRIB","RANGE_SIZE","Species distribution","Total range size","33304.03","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BDFF6CEB","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BDFF6CEB","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-BDFF6CEB","HABITAT","ALT","Habitat","Altitude","","m","750","1200","-1","Birdlife's Worldbird Database",""
"avibase-BDFF6CEB","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BDFF6CEB","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BDFF6CEB","HABITAT","DESCR","Habitat","Habitat description","humid forest;Andean foothills 900-1200m","","","","","Sibley 1996",""
"avibase-BDFF6CEB","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BDFF6CEB","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
