"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-AA694535","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: Philippines (except Palawan group and s Sulu Arch.)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-AA694535","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","20.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","5.56","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","11.87","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","123.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","DISTRIB","RANGE_SIZE","Species distribution","Total range size","273885.38","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AA694535","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-AA694535","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","HABITAT","DESCR","Habitat","Habitat description","Grassland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","HABITAT","DESCR","Habitat","Habitat description","thickets, long grass","","","","","Sibley 1996",""
"avibase-AA694535","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AA694535","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AA694535","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AA694535","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.385","cm","1.29","1.48","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.23267","cm","1.19","1.29","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.2936","cm","1.19","1.48","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.055","cm","3.02","3.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.95167","cm","2.88","3.045","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.845","cm","1.81","1.88","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.555","cm","1.46","1.65","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.7","cm","1.46","1.88","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.993","cm","2.88","3.09","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.915","cm","0.8","1.03","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.758667","cm","0.7","0.806","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.8212","cm","0.7","1.03","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","MASS","Body measurements","Body mass","142","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AA694535","BODY","MASS","Body measurements","Body mass","140.5","g","139","142","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
