"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-FB0419E0","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: ne, e","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-FB0419E0","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","10.27","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-19.1","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-0.39","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-49.16","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","DISTRIB","RANGE_SIZE","Species distribution","Total range size","322459.95","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FB0419E0","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-FB0419E0","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","HABITAT","DESCR","Habitat","Habitat description","mangroves, esp.Avicenna, forest edge, second growth, cerrado, caatinga, plantations, parks, gardens;mainly close to sea level, in Venezuela to 250m","","","","","Sibley 1996",""
"avibase-FB0419E0","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FB0419E0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FB0419E0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FB0419E0","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.238","cm","0.188","0.3","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.195","cm","2.08","2.32","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.48157","cm","2.229","2.73","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.2754","cm","0.23","0.32","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB0419E0","BODY","MASS","Body measurements","Body mass","4.7","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
