"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0AA51604","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: n, nw Amazonia","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-0AA51604","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-4.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","4.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-64.5","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","DISTRIB","RANGE_SIZE","Species distribution","Total range size","139424.09","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0AA51604","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-0AA51604","HABITAT","ALT","Habitat","Altitude","","m","900","1800","-1","Birdlife's Worldbird Database",""
"avibase-0AA51604","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","HABITAT","DESCR","Habitat","Habitat description","humid forest;mountains 1000-1800m","","","","","Sibley 1996",""
"avibase-0AA51604","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0AA51604","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0AA51604","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0AA51604","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.3365","cm","0.334","0.339","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.339","cm","0.333","0.35","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.348571","cm","0.333","0.39","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.46","cm","1.46","1.46","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.777667","cm","0.75","0.83","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.853","cm","0.826","0.92","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.8415","cm","0.75","0.95","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.4475","cm","1.37","1.52","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.33","cm","0.278","0.361","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.31625","cm","0.235","0.38","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.3265","cm","0.235","0.38","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","MASS","Body measurements","Body mass","8","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0AA51604","BODY","MASS","Body measurements","Body mass","7.975","g","7.95","8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
