"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-E8065829","DISTRIB","ANNUAL","Species distribution","Geographical range","PNG, Aion, Amphlett Group, Anagusa, Butchart, Dawson, Djaul, Dobu, Fergusson, Goodenough, Kaileuna, Kiriwina, Kwaraiwa, Lihir, Long, Manus, Misima, Nalualuali, New Britain, New Guinea, New Hanover, New Ireland, Normanby, Panamailoa, Panapompom, Panasia, Reu, Rossel, Sakar, Sudest, Tabar, Tewa Tewa, Tubatuba, Umboi, Vuatom, Waviai, Witu, Woodlark, Yanaba","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-E8065829","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: se New Guinea and satellites, and e Bismarck Arch.","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-E8065829","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-2.34","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-11.66","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-6.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","150.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","DISTRIB","RANGE_SIZE","Species distribution","Total range size","61928.79","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E8065829","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-E8065829","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","HABITAT","DESCR","Habitat","Habitat description","humid forest, second growth, cocnut palms, towns;lowlands","","","","","Sibley 1996",""
"avibase-E8065829","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E8065829","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E8065829","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E8065829","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.26333","cm","2.19","2.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.40429","cm","2.27","2.52","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.362","cm","2.19","2.52","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.22","cm","3.03","3.42","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.13571","cm","2.9","3.32","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.6","cm","2.52","2.75","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.69857","cm","2.53","2.78","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.669","cm","2.52","2.78","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.161","cm","2.9","3.42","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.33667","cm","1.23","1.41","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.45286","cm","1.33","1.56","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.418","cm","1.23","1.56","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","MASS","Body measurements","Body mass","187","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","MASS","Body measurements","Body mass","187","g","187","187","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E8065829","BODY","MASS_F","Body measurements","Body mass (females)","187","g","187","187","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E8065829","BODY","TAIL_F","Body measurements","Tail length (females)","9.03333","cm","8.8","9.4","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","TAIL_M","Body measurements","Tail length (males)","9.01429","cm","8.3","9.6","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","9.02","cm","8.3","9.6","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.37667","cm","2.22","2.47","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.01429","cm","1.68","2.3","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.123","cm","1.68","2.47","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","WING_F","Body measurements","Wing length (females)","17.0667","cm","16.7","17.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","98.1","%","97","100.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","95.9143","%","92.4","102","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","96.57","%","92.4","102","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","7.25667","cm","6.98","7.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","7.65143","cm","6.9","8.9","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E8065829","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","7.533","cm","6.9","8.9","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
