"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-9337459C","DISTRIB","ANNUAL","Species distribution","Geographical range","Plains of eastern Tucumdn and northwestern Santiago del Estero, Argentina.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-9337459C","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: Paraguay and n Argentina","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-9337459C","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-20.44","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-28.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-24.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-61.91","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","DISTRIB","RANGE_SIZE","Species distribution","Total range size","285672.47","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9337459C","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-9337459C","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","HABITAT","DESCR","Habitat","Habitat description","dry quebracho woodland;lowlands","","","","","Sibley 1996",""
"avibase-9337459C","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9337459C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9337459C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.825","cm","0.77","0.88","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.825","cm","0.77","0.88","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.25","cm","3.16","3.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.82","cm","1.71","1.93","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.82","cm","1.71","1.93","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.25","cm","3.16","3.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.79","cm","0.71","0.87","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.79","cm","0.71","0.87","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","MASS","Body measurements","Body mass","772.93","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","TAIL_F","Body measurements","Tail length (females)","7.8","cm","5.8","9.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.8","cm","5.8","9.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","TARSUS_F","Body measurements","Tarsus length (females)","4.945","cm","4.9","4.99","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9337459C","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","4.945","cm","4.9","4.99","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
